Per-verb counts:
----------------------------------------
  put-down: 500
  put-in: 205
  put: 193
  close: 131
  pick-up: 127
  move: 108
  put-on: 98
  open: 77
  place: 68
  throw: 67
  take: 67
  put-into: 63
  rinse: 34
  wash: 32
  get: 26
  turn-off: 23
  turn-on: 22
  grab: 18
  place-in: 17
  adjust: 15
  stir: 13
  shake: 13
  put-onto: 13
  put-away: 12
  take-out: 10
  clean: 9
  place-on: 7
  put-back: 7
  throw-into: 7
  return: 7
  remove: 7
  start: 6
  hang: 6
  throw-out: 5
  dry: 5
  insert: 5
  move-on: 5
  put-of: 5
  separate: 5
  pull: 4
  pick: 4
  push: 4
  adjust-on: 4
  pull-down: 4
  fold: 4
  hold: 4
  recycle: 4
  place-onto: 3
  cover-with: 3
  wipe: 3
  leave: 3
  pour-into: 3
  change: 3
  tear: 3
  rotate: 3
  wear: 3
  put-to: 3
  throw-away: 3
  throw-from: 3
  twist: 2
  throw-in: 2
  turn: 2
  roll: 2
  lift: 2
  pull-out: 2
  lay-down: 2
  look-in: 2
  hold-in: 2
  pack: 2
  assemble: 2
  flip: 2
  scrub: 2
  mix: 2
  take-off: 2
  apply: 2
  tap: 2
  arrange: 2
  switch-on: 2
  adjust-in: 2
  fill-with: 2
  empty: 2
  unfold: 2
  shake-with: 2
  screw-in: 2
  search: 2
  squeeze: 2
  hang-up: 2
  plug-in: 1
  lock: 1
  throw-onto: 1
  pour-out: 1
  fix: 1
  throw-for: 1
  return-into: 1
  wet: 1
  rinse-off: 1
  plate-on: 1
  put-inside: 1
  take-from: 1
  scrape: 1
  fold-up: 1
  drop: 1
  hang-on: 1
  slide: 1
  seal: 1
  lay: 1
  wipe-off: 1
  place-back: 1
  place-down: 1
  set: 1
  take-into: 1
  watch: 1
  use: 1
  turn-down: 1
  collect-from: 1
  squish: 1
  take-in: 1
  check: 1
  put-with: 1
  crush: 1
  zero: 1
  move-from: 1
  stack: 1
  rearrange: 1
  attach: 1
  tear-off: 1
  feel: 1
  lift-off: 1
  turn-away: 1
  place-into: 1
  fill-from: 1
  roll-up: 1
  lather: 1
  set-down: 1
  place-inside: 1
  take-with: 1
  cover: 1
  slide-along: 1
  lay-on: 1
  heat: 1
  soak: 1
  return-to: 1
  unroll: 1
  stretch: 1
  count: 1
